JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Guinea,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,1148,1148,358,D,1743,334
New Zealand,No. of incoming service contacts by channel-E-mail,Units,D,D,D,1303436,1591054,1478854
Philippines,Percentage of payments received electronically-By number of payments,Units,14.68,17.15,30,D,,
St. Lucia,No. of incoming service contacts by channel-E-mail,Units,D,D,D,4306,5174,4916
Mozambique,Percentage of payments received electronically-By number of payments,Units,D,D,68,100,D,D
Guinea Bissau,No. of incoming service contacts by channel-E-mail,Units,183,0,D,,D,
Moldova,No. of incoming service contacts by channel-E-mail,Units,D,D,D,15558,31105,41566
United States,No. of incoming service contacts by channel-E-mail,Units,0,0,0,0,D,D
Samoa,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,35,36,D,D,45,
Lithuania,No. of incoming service contacts by channel-E-mail,Units,D,D,7163,6415,4767,5379
Tonga,Percentage of payments received electronically-By number of payments,Units,1,2,D,D,5,5
Taiwan,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,D,D,D,3600086,294842
Togo,Percentage of payments received electronically-By value of payments,Units,D,D,71.6,84.5,77,80
Lesotho,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,11,11,36,31
Montenegro,FTEs by function of the tax administration-Other functions,Units,197,195,204,206,D,D
India,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,D,D,14713,D
Mozambique,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,D,229,D,D
Paraguay,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,D,154,154,55
Belgium,No. of incoming service contacts by channel-E-mail,Units,120808,139640,161839,96171,3000000,D
Panama,On-time return filing-Value added tax-No. of returns expected,Units,612504,632340,622512,D,816948,540270
Lao People's Democratic Republic,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,D,D,0,46390,D,D
Nepal,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,,,D,D,90,165
"Korea, Republic of",On-time return filing-Value added tax-No. of returns expected,Units,D,D,D,D,8661595,9034026
Burundi,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,0,0,D,D,D,1
"Congo, Democratic Republic of",On-time return filing-Value added tax-No. of returns expected,Units,46341,79524,D,D,D,177954
Dominica,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,42,0,D,D,0,0
Poland,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,4925,33506,D,D,D,D
Trinidad and Tobago,Length of service (No. of staff at the end of FY)-Over 19 years,Units,251,230,331,157,174,D
Japan,Staff strength levels -No. at end of FY,Units,D,D,53600,53000,54000,55119
Angola,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,178434,196411,D,241870,D,235758
Burundi,No. of incoming service contacts by channel-Mail / post,Units,0,0,0,0,D,D
Trinidad and Tobago,Age distribution (No. of staff at the end of FY)-35-44 years,Units,216,193,348,271,260,D
Mauritius,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,0,0,0
Ghana,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,421,D,D,59
Botswana,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,5296,6612,24360,D,D,D
St. Lucia,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,0,0,0
Cameroon,Salary expenditure - Derived,Units,D,D,0,D,D,5809813
Lesotho,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,D,70,93,62,746
Togo,Percentage of payments received electronically-By number of payments,Units,D,D,12.8,23.4,19,17
United Kingdom,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,8552114,8669251,8551401,8543554,D,8410530
Ghana,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,58,D,D,7
Guinea Bissau,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,15,D,,329,D
"Congo, Democratic Republic of",Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,2281,1639,D,D,D,2820
Guinea Bissau,No. of incoming service contacts by channel-Mail / post,Units,0,0,D,,0,
Japan,Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,D,29834,28941,28488,27771
Costa Rica,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,1004,414,1022,920
Israel,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,D,0,0
Cameroon,Operating expenditure,Units,D,D,0,D,D,9830285
New Zealand,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,D,D,16157,10347,38664
"Congo, Democratic Republic of",Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,D,D,D,D
Suriname,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,,D,26,20
Burundi,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,534,502,834,556,D,2192
Suriname,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,,D,4829,D
Nepal,On-time return filing-Corporate income tax-No. of returns filed on time,Units,,,104021,756555,737507,D
Suriname,Percentage of payments received electronically-By value of payments,Units,D,D,,69,100,100
Kyrgyz Republic,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,D,D,,D,D,0
Kyrgyz Republic,On-time return filing-Value added tax-No. of returns expected,Units,16986,20677,,D,D,607
Costa Rica,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,749,561,973,866
Kyrgyz Republic,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,D,D,,0,D,D
Vietnam,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,1007536,1142863,1253676,1377884,1518970,D
El Salvador,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,0,0,,0,D,D
Kyrgyz Republic,FTEs by function of the tax administration-ICT support,Units,,,,,96,D
Japan,Gender distribution (No. of staff at the end of FY)-All staff-Male,Units,D,D,42216,41583,41698,41508
France,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,,,D,D,1.96,2.65
"Gambia, The","FTEs by function of the tax administration-Registration, taxpayer services, returns and payment processing",Units,D,D,,D,75,40
Mongolia,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,,,,,0.3,D
Guyana,Percentage of payments received electronically-By value of payments,Units,2,2,9,12,15,D
Bhutan,FTEs by function of the tax administration-Other functions,Units,0,0,52860,D,D,D
Gabon,FTEs by function of the tax administration-Other functions,Units,D,D,114,276,94,200
Suriname,ICT expenditure for tax as prorportion of total ICT expenditure,Units,D,1,,21,40,0
Guyana,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,669,476,D,530,487,391
Central African Republic,Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,D,D,69,90
Lesotho,FTEs by function of the tax administration-Other functions,Units,D,D,510,28,29,10
Guyana,Percentage of payments received electronically-By number of payments,Units,0.12,0.12,5,4,4,D
Guinea,On-time return filing-Corporate income tax-No. of returns filed on time,Units,444,501,658,921,D,1538
Republic of North Macedonia,Percentage of payments received electronically-By value of payments,Units,D,D,D,D,100,100
Guinea Bissau,No. of taxpayers included under the LTO / program-Corporate taxpayers,Units,145,145,136,,D,150
Guinea Bissau,No. of FTEs in LTO / program-Total,Units,48,48,D,,72,97
Republic of North Macedonia,Percentage of payments received electronically-By number of payments,Units,D,D,D,D,100,100
Chad,FTEs by function of the tax administration-Other functions,Units,D,D,D,193,D,D
Nepal,Length of service (No. of staff at the end of FY)-10-19 years,Units,,,305,416,267,D
"Congo, Republic of",On-time return filing-Value added tax-No. of returns filed on time,Units,52111,57223,74414,,D,D
"Gambia, The",Percentage of staff working on headquarter functions,Units,D,D,,D,2,7.4
Papua New Guinea,Age distribution (No. of staff at the end of FY)-55-64 years,Units,D,D,34,25,40,42
Nigeria,Number of taxpayers by tax type-Employers that withhold tax from employees-Active employers,Units,D,D,,6294,6938,7251
Latvia,No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,D,D,111239,113851
Taiwan,No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,,,1522856,141947
Belarus,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total value of additional assessments raised (including penalties and interest) (in thousands in local currency),Thousands,D,D,D,0,0,0
Vanuatu,Gender distribution (No. of staff at the end of FY)-Executives only-Male,Units,,,2,2,2,D
"Congo, Democratic Republic of",No. of taxpayers included under the LTO / program-Individual taxpayers,Units,716,605,,11,11,D
Uzbekistan,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,D,D,2184,2238,2569,883
Mauritius,No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,615213,7999195,726381,1324656
Papua New Guinea,Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,93,107,144,139
Zimbabwe,Percentage of staff working on headquarter functions,Units,1,2,9.25,D,D,4
Kazakhstan,On-time return filing-Value added tax-No. of returns filed on time,Units,684656,596955,0,D,3958,0
Mozambique,Number of taxpayers by tax type-Value added tax-Registered taxpayers,Units,111188,120291,93395,341480,D,2316
Nepal,Percentage of staff working on headquarter functions,Units,,,D,8.61,9,7
Lesotho,Percentage of staff working on headquarter functions,Units,D,D,20,20,29,29
"Congo, Republic of",Number of returns received by tax type and channel-Value added tax-Paper returns,Units,D,D,17532,,44148,D
Cameroon,Information and communications technology expenditure - Derived,Units,D,D,165849,376892,D,853069
Angola,Staff strength levels -No. at start of FY,Units,D,3789,3816,4016,4209,4238
Sri Lanka,"No. of FTEs in LTO / program-In the audit, investigation and other verification activities",Units,,,D,97,139,134
Lesotho,"FTEs by function of the tax administration-Registration, taxpayer services, returns and payment processing",Units,D,D,240,240,58,68
Nigeria,On-time return filing-Value added tax-No. of returns filed on time,Units,D,D,,381232,485780,650202
Vietnam,Percentage of staff working on headquarter functions,Units,D,D,100,1.96,1.8,2.24
Papua New Guinea,Gender distribution (No. of staff at the end of FY)-All staff-Female,Units,D,D,322,313,349,339
Angola,Information and communications technology expenditure - Derived,Units,130,117,D,13380793,D,4355437
Burundi,Information and communications technology expenditure - Derived,Units,773199,918182,873087,D,D,D
Vietnam,"No. of FTEs in LTO / program-In the audit, investigation and other verification activities",Units,61,63,D,59,60,62
Cameroon,No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,0,0,D,D
